facet_id,raw_text,facet_name,row_kind,source_ref,source_construct,had_numbering,had_trailing_colon,was_unicode_normalized
K0208,Storytelling proficiency,Storytelling proficiency,facet,,,False,False,False
K0209,Music-lessons years,Music-lessons years,facet,,,False,False,False
K0210,Warmheartedness,Warmheartedness,facet,,,False,False,False
K0211,Self-effacement,Self-effacement,facet,,,False,False,False
K0212,Outspokenness,Outspokenness,facet,,,False,False,False
K0213,Sleep-environment temperature,Sleep-environment temperature,facet,,,False,False,False
K0214,Comprehension of spoken information,Comprehension of spoken information,facet,,,False,False,False
K0215,Blissfulness,Blissfulness,facet,,,False,False,False
K0216,Sequential Memory Recall,Sequential Memory Recall,facet,,,False,False,False
K0217,Withdrawnness,Withdrawnness,facet,,,False,False,False
K0218,892. Hindu spiritual metric: Yoga discipline hours / week,Yoga discipline hours / week,facet,892,Hindu spiritual metric,True,False,False
K0219,Conservatism,Conservatism,facet,,,False,False,False
K0220,Adaptability and Flexibility Subcomponents:,Adaptability and Flexibility Subcomponents,category_header,,,False,True,False
K0221,898. Hindu spiritual metric: Vrata vows observed / year,Vrata vows observed / year,facet,898,Hindu spiritual metric,True,False,False
K0222,Ardency,Ardency,facet,,,False,False,False
K0223,Aesthetic Appreciation,Aesthetic Appreciation,facet,,,False,False,False
K0224,Transactional Leadership:,Transactional Leadership,category_header,,,False,True,False
K0225,Value orientation: Universalism,Universalism,facet,,Value orientation,False,False,False
K0226,Regularity of Self-Reflection,Regularity of Self-Reflection,facet,,,False,False,False
K0227,Controlling Reactions,Controlling Reactions,facet,,,False,False,False
K0228,Psychological construct: Cultural Intelligence – Behavioral,Cultural Intelligence - Behavioral,facet,,Psychological construct,False,False,True
K0229,Metabolic Rate (Low or High),Metabolic Rate (Low or High),facet,,,False,False,False
K0230,Dietary Habits,Dietary Habits,facet,,,False,False,False
K0231,Significance: Desire to make an impact,Desire to make an impact,facet,,Significance,False,False,False
K0232,Psychological construct: Resilience-Trait score,Resilience-Trait score,facet,,Psychological construct,False,False,False
K0233,Boredom Susceptibility,Boredom Susceptibility,facet,,,False,False,False
K0234,Psychological construct: Consummatory Pleasure scale,Consummatory Pleasure scale,facet,,Psychological construct,False,False,False
K0235,Leadership Styles and Behaviors:,Leadership Styles and Behaviors,category_header,,,False,True,False
K0236,723. I Ching hexagram 5 resonance level,I Ching hexagram 5 resonance level,facet,723,,True,False,False
K0237,Macronutrient ratio: carbs,carbs,facet,,Macronutrient ratio,False,False,False
K0238,Passport-stamps count,Passport-stamps count,facet,,,False,False,False
K0239,Local-food sourcing %,Local-food sourcing %,facet,,,False,False,False
K0240,Patient care orientation,Patient care orientation,facet,,,False,False,False
K0241,Soft-skill training hours,Soft-skill training hours,facet,,,False,False,False
K0242,Graffiti appreciation,Graffiti appreciation,facet,,,False,False,False
K0243,Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,facet,,,False,False,False
K0244,Immune-response age,Immune-response age,facet,,,False,False,False
K0245,Social-cognition variable: Cognitive Empathy,Cognitive Empathy,facet,,Social-cognition variable,False,False,False
K0246,Kink-interest diversity,Kink-interest diversity,facet,,,False,False,False
K0247,Adaptability and Flexibility:,Adaptability and Flexibility,category_header,,,False,True,False
K0248,Judging Consequences,Judging Consequences,facet,,,False,False,False
K0249,Harmfulness,Harmfulness,facet,,,False,False,False
K0250,Affinity,Affinity,facet,,,False,False,False
K0251,Abasement,Abasement,facet,,,False,False,False
K0252,Chronic pain presence,Chronic pain presence,facet,,,False,False,False
K0253,520. Discernment practice hours / week,Discernment practice hours / week,facet,520,,True,False,False
K0254,Initiative,Initiative,facet,,,False,False,False
K0255,Courageousness,Courageousness,facet,,,False,False,False
K0256,Joyfulness,Joyfulness,facet,,,False,False,False
K0257,Suspicion,Suspicion,facet,,,False,False,False
K0258,Basophil count,Basophil count,facet,,,False,False,False
K0259,Attachment avoidance score,Attachment avoidance score,facet,,,False,False,False
K0260,Time Orientation End Points:,Time Orientation End Points,category_header,,,False,True,False
K0261,Brazenness,Brazenness,facet,,,False,False,False
K0262,Talkativeness,Talkativeness,facet,,,False,False,False
K0263,Equitableness,Equitableness,facet,,,False,False,False
K0264,Ideas generated/day,Ideas generated/day,facet,,,False,False,False
K0265,Originality,Originality,facet,,,False,False,False
K0266,Fearfulness: Fear of physical dangers,Fear of physical dangers,facet,,Fearfulness,False,False,False
K0267,Dance rehearsal hours/week,Dance rehearsal hours/week,facet,,,False,False,False
K0268,561. Practice frequency: Mantra meditation,Mantra meditation,facet,561,Practice frequency,True,False,False
K0269,Public-transport km/week,Public-transport km/week,facet,,,False,False,False
K0270,Social Desirability Bias,Social Desirability Bias,facet,,,False,False,False
K0271,761. I Ching hexagram 43 resonance level,I Ching hexagram 43 resonance level,facet,761,,True,False,False
K0272,Disagreeableness,Disagreeableness,facet,,,False,False,False
K0273,Participation in Community Activities,Participation in Community Activities,facet,,,False,False,False
K0274,Impudence,Impudence,facet,,,False,False,False
K0275,Analogies,Analogies,facet,,,False,False,False
K0276,Clumsiness,Clumsiness,facet,,,False,False,False
K0277,Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,facet,,,False,False,False
K0278,737. I Ching hexagram 19 resonance level,I Ching hexagram 19 resonance level,facet,737,,True,False,False
K0279,Robotics-interaction frequency,Robotics-interaction frequency,facet,,,False,False,False
K0280,Casual lifestyle,Casual lifestyle,facet,,,False,False,False
K0281,Collectedness,Collectedness,facet,,,False,False,False
K0282,Reliance on context,Reliance on context,facet,,,False,False,False
K0283,Delegation skills,Delegation skills,facet,,,False,False,False
K0284,767. I Ching hexagram 49 resonance level,I Ching hexagram 49 resonance level,facet,767,,True,False,False
K0285,Managing emotions,Managing emotions,facet,,,False,False,False
K0286,Scripture memorization verses,Scripture memorization verses,facet,,,False,False,False
K0287,Conventional,Conventional,facet,,,False,False,False
K0288,890. Hindu spiritual metric: Bhagavad-Gita study hours,Bhagavad-Gita study hours,facet,890,Hindu spiritual metric,True,False,False
K0289,Open-source contributions,Open-source contributions,facet,,,False,False,False
K0290,Psychological construct: Social Conformity tendency,Social Conformity tendency,facet,,Psychological construct,False,False,False
K0291,Individuality,Individuality,facet,,,False,False,False
K0292,740. I Ching hexagram 22 resonance level,I Ching hexagram 22 resonance level,facet,740,,True,False,False
K0293,Attachment style: Secure,Secure,facet,,Attachment style,False,False,False
K0294,Intelligence Quotient (IQ),Intelligence Quotient (IQ),facet,,,False,False,False
K0295,Blog-subscriber count,Blog-subscriber count,facet,,,False,False,False
K0296,Non-Verbal Communication Skills,Non-Verbal Communication Skills,facet,,,False,False,False
K0297,Drug-use history,Drug-use history,facet,,,False,False,False
K0298,Commute time/day,Commute time/day,facet,,,False,False,False
K0299,Decision-making speed,Decision-making speed,facet,,,False,False,False
K0300,Psychological construct: Excuse-Making tendency,Excuse-Making tendency,facet,,Psychological construct,False,False,False
K0301,Peer-to-peer lending usage,Peer-to-peer lending usage,facet,,,False,False,False
K0302,Psychological construct: Eye-Contact avoidance score,Eye-Contact avoidance score,facet,,Psychological construct,False,False,False
K0303,Social-cognition variable: Faux Pas Recognition accuracy,Faux Pas Recognition accuracy,facet,,Social-cognition variable,False,False,False
K0304,Conscientiousness (C):,Conscientiousness (C),category_header,,,False,True,False
K0305,Use of Nature as a Stress Reliever,Use of Nature as a Stress Reliever,facet,,,False,False,False
K0306,Attitude toward learning,Attitude toward learning,facet,,,False,False,False
K0307,Conscientiousness Facets:,Conscientiousness Facets,category_header,,,False,True,False
K0308,Honesty-humility trait score,Honesty-humility trait score,facet,,,False,False,False
K0309,Digital-nomad months,Digital-nomad months,facet,,,False,False,False
K0310,516. Religious coping – Negative,Religious coping - Negative,facet,516,,True,False,True
K0311,Snacking Behavior,Snacking Behavior,facet,,,False,False,False
K0312,Aura-color perception,Aura-color perception,facet,,,False,False,False
K0313,638. Sacred text engagement: Zohar (Kabbalah) study hours,Zohar (Kabbalah) study hours,facet,638,Sacred text engagement,True,False,False
K0314,Motivational Drivers:,Motivational Drivers,category_header,,,False,True,False
K0315,Cloud-backup frequency,Cloud-backup frequency,facet,,,False,False,False
K0316,Learning Style,Learning Style,facet,,,False,False,False
K0317,872. Islamic practice: Seerah study hours,Seerah study hours,facet,872,Islamic practice,True,False,False
K0318,Safety compliance,Safety compliance,facet,,,False,False,False
K0319,Sensationalism,Sensationalism,facet,,,False,False,False
K0320,Nationality,Nationality,facet,,,False,False,False
K0321,Drollness,Drollness,facet,,,False,False,False
K0322,Cooperation,Cooperation,facet,,,False,False,False
K0323,Breakfast-skipping frequency,Breakfast-skipping frequency,facet,,,False,False,False
K0324,922. Sikh spiritual metric: Kirtan participation frequency,Kirtan participation frequency,facet,922,Sikh spiritual metric,True,False,False
K0325,Impulsivity,Impulsivity,facet,,,False,False,False
K0326,Museum visits/year,Museum visits/year,facet,,,False,False,False
K0327,Choir participation years,Choir participation years,facet,,,False,False,False
K0328,Delegation Ability,Delegation Ability,facet,,,False,False,False
K0329,788. Kabbalah sephira balance: Tiferet,Tiferet,facet,788,Kabbalah sephira balance,True,False,False
K0330,Desire to influence others,Desire to influence others,facet,,,False,False,False
K0331,Vivacity,Vivacity,facet,,,False,False,False
K0332,Genialness,Genialness,facet,,,False,False,False
K0333,Cognitive measure: Working Memory Index,Working Memory Index,facet,,Cognitive measure,False,False,False
K0334,Ethical practices,Ethical practices,facet,,,False,False,False
K0335,945. New-Age spiritual metric: Channeling sessions / year,Channeling sessions / year,facet,945,New-Age spiritual metric,True,False,False
K0336,Civility,Civility,facet,,,False,False,False
K0337,Sleep Apnea,Sleep Apnea,facet,,,False,False,False
K0338,Classiness,Classiness,facet,,,False,False,False
K0339,Control over situations,Control over situations,facet,,,False,False,False
K0340,Time outdoors/day (h),Time outdoors/day (h),facet,,,False,False,False
K0341,Effeteness,Effeteness,facet,,,False,False,False
K0342,Polygenic risk: cardiovascular disease,cardiovascular disease,facet,,Polygenic risk,False,False,False
K0343,Psychological construct: Identity Diffusion level,Identity Diffusion level,facet,,Psychological construct,False,False,False
K0344,Learning through movement,Learning through movement,facet,,,False,False,False
K0345,Caffeine sensitivity gene,Caffeine sensitivity gene,facet,,,False,False,False
K0346,Hatefulness,Hatefulness,facet,,,False,False,False
K0347,Persistence:,Persistence,category_header,,,False,True,False
K0348,Psychological construct: Perfectionistic Strivings,Perfectionistic Strivings,facet,,Psychological construct,False,False,False
K0349,Wake-time consistency,Wake-time consistency,facet,,,False,False,False
K0350,Numerical Reasoning:,Numerical Reasoning,category_header,,,False,True,False
K0351,Social-cognition variable: Mentalizing network activation,Mentalizing network activation,facet,,Social-cognition variable,False,False,False
K0352,Patriotism,Patriotism,facet,,,False,False,False
K0353,Leadership Styles:,Leadership Styles,category_header,,,False,True,False
K0354,Servility,Servility,facet,,,False,False,False
K0355,742. I Ching hexagram 24 resonance level,I Ching hexagram 24 resonance level,facet,742,,True,False,False
K0356,Enneagram Personality Types:,Enneagram Personality Types,category_header,,,False,True,False
K0357,Stress Recovery Ability,Stress Recovery Ability,facet,,,False,False,False
K0358,Troubleshooting technical issues,Troubleshooting technical issues,facet,,,False,False,False
K0359,Defense-mechanism tendency: Introjection,Introjection,facet,,Defense-mechanism tendency,False,False,False
K0360,Irritability,Irritability,facet,,,False,False,False
K0361,Travel-companions diversity,Travel-companions diversity,facet,,,False,False,False
K0362,627. Sacred text engagement: Quran surahs memorized,Quran surahs memorized,facet,627,Sacred text engagement,True,False,False
K0363,Trust in others,Trust in others,facet,,,False,False,False
K0364,Gamified-finance-app usage,Gamified-finance-app usage,facet,,,False,False,False
K0365,823. Buddhist practice: Eightfold Path – Right Intention level,Eightfold Path - Right Intention level,facet,823,Buddhist practice,True,False,True
K0366,Caffeine intake (mg/day),Caffeine intake (mg/day),facet,,,False,False,False
K0367,Comfort with Vulnerability,Comfort with Vulnerability,facet,,,False,False,False
K0368,Anticipativeness,Anticipativeness,facet,,,False,False,False
K0369,Additional Common Parameters and Their End Points:,Additional Common Parameters and Their End Points,category_header,,,False,True,False
K0370,Avoiding:,Avoiding,category_header,,,False,True,False
K0371,Home-security-system presence,Home-security-system presence,facet,,,False,False,False
K0372,HEXACO domain: Honesty-Humility,Honesty-Humility,facet,,HEXACO domain,False,False,False
K0373,Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (Home-Cooked vs. Eating Out),facet,,,False,False,False
K0374,Decision-Making Confidence,Decision-Making Confidence,facet,,,False,False,False
K0375,Alignment with societal roles,Alignment with societal roles,facet,,,False,False,False
K0376,Connectedness: Belief in interconnections,Belief in interconnections,facet,,Connectedness,False,False,False
K0377,Quirkiness,Quirkiness,facet,,,False,False,False
K0378,Creative resilience,Creative resilience,facet,,,False,False,False
K0379,Rapid cognitive processing,Rapid cognitive processing,facet,,,False,False,False
K0380,Cordiality,Cordiality,facet,,,False,False,False
K0381,Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used,facet,,,False,False,False
K0382,Economic reasoning,Economic reasoning,facet,,,False,False,False
K0383,Conformity,Conformity,facet,,,False,False,False
K0384,Pet-enrichment activities count,Pet-enrichment activities count,facet,,,False,False,False
K0385,Aestheticism,Aestheticism,facet,,,False,False,False
K0386,Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (Emotional vs. Practical),facet,,,False,False,False
K0387,Mental Arithmetic Speed,Mental Arithmetic Speed,facet,,,False,False,False
K0388,Patience: Resistance to anger,Resistance to anger,facet,,Patience,False,False,False
K0389,Flawlessness,Flawlessness,facet,,,False,False,False
K0390,Self-Efficacy,Self-Efficacy,facet,,,False,False,False
K0391,Computer Skills:,Computer Skills,category_header,,,False,True,False
K0392,899. Jewish spiritual metric: Shabbat candle-lighting consistency,Shabbat candle-lighting consistency,facet,899,Jewish spiritual metric,True,False,False
K0393,Spelling Accuracy,Spelling Accuracy,facet,,,False,False,False
K0394,793. Sufi practice: Dhikr repetitions / day,Dhikr repetitions / day,facet,793,Sufi practice,True,False,False
K0395,Peacefulness,Peacefulness,facet,,,False,False,False
K0396,Doggedness,Doggedness,facet,,,False,False,False
K0397,Decency,Decency,facet,,,False,False,False
K0398,Processed-food frequency,Processed-food frequency,facet,,,False,False,False
